char,height,origin_path,path,width,x,y,isTrain,label
Q,99,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/Q/DSC03077_1.jpg,130,203,89,True,39
5,101,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/5/DSC03077_1.jpg,129,338,88,True,16
S,113,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/S/DSC03077_1.jpg,101,57,315,True,41
c,78,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/c/DSC03077_2.jpg,69,157,353,True,53
i,111,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/i/DSC03077_1.jpg,48,223,326,True,60
e,85,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/e/DSC03077_2.jpg,81,271,351,True,56
n,79,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/n/DSC03077_1.jpg,83,348,353,True,65
c,82,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/c/DSC03077_3.jpg,72,429,352,True,53
e,83,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03077.jpg,char_data/e/DSC03077_3.jpg,80,498,353,True,56
T,72,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/T/DSC03079_1.jpg,38,194,317,True,42
e,54,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/e/DSC03079_1.jpg,25,231,338,True,56
c,56,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/c/DSC03079_1.jpg,22,257,335,True,53
h,65,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/h/DSC03079_1.jpg,26,279,321,True,59
n,55,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/n/DSC03079_1.jpg,23,304,334,True,65
o,51,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/o/DSC03079_2.jpg,25,327,334,True,66
l,67,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/l/DSC03079_1.jpg,16,351,322,True,63
o,54,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/o/DSC03079_3.jpg,26,365,332,True,66
g,72,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/g/DSC03079_1.jpg,25,392,331,True,58
y,66,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03079.jpg,char_data/y/DSC03079_1.jpg,28,416,330,True,76
B,66,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/B/DSC03081_1.jpg,63,292,255,True,24
H,60,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/H/DSC03081_1.jpg,45,237,397,True,30
i,56,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/i/DSC03081_1.jpg,12,282,400,True,60
s,42,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/s/DSC03081_1.jpg,21,293,412,True,70
t,52,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/t/DSC03081_1.jpg,17,314,405,True,71
o,40,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/o/DSC03081_1.jpg,25,329,415,True,66
r,41,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/r/DSC03081_1.jpg,24,352,413,True,69
y,54,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03081.jpg,char_data/y/DSC03081_1.jpg,25,376,413,True,76
D,72,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/D/DSC03082_1.jpg,70,274,202,True,26
G,59,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/G/DSC03082_2.jpg,36,131,368,True,29
e,42,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/e/DSC03082_1.jpg,18,169,387,True,56
o,36,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/o/DSC03082_1.jpg,22,188,385,True,66
g,58,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/g/DSC03082_3.jpg,23,210,384,True,58
r,44,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/r/DSC03082_1.jpg,20,233,382,True,69
a,41,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/a/DSC03082_2.jpg,19,253,384,True,51
p,63,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/p/DSC03082_2.jpg,26,270,381,True,67
h,57,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/h/DSC03082_1.jpg,27,294,371,True,59
y,60,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/y/DSC03082_1.jpg,24,320,382,True,76
M,59,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/M/DSC03082_1.jpg,44,360,369,True,35
a,39,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/a/DSC03082_3.jpg,22,404,384,True,51
p,58,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/p/DSC03082_3.jpg,25,426,384,True,67
s,42,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03082.jpg,char_data/s/DSC03082_1.jpg,21,451,382,True,70
K,107,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/K/DSC03084_1.jpg,100,264,141,True,33
E,83,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/E/DSC03084_3.jpg,45,55,342,True,27
d,84,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/d/DSC03084_2.jpg,33,92,341,True,54
u,55,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/u/DSC03084_1.jpg,26,117,370,True,72
c,59,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/c/DSC03084_2.jpg,22,143,369,True,53
a,56,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/a/DSC03084_2.jpg,21,165,372,True,51
t,67,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/t/DSC03084_2.jpg,18,185,362,True,71
i,77,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/i/DSC03084_3.jpg,12,204,353,True,60
o,53,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/o/DSC03084_1.jpg,22,216,371,True,66
n,53,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/n/DSC03084_2.jpg,32,238,372,True,65
A,79,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/A/DSC03084_3.jpg,39,281,352,True,23
r,59,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/r/DSC03084_1.jpg,22,319,369,True,69
t,70,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/t/DSC03084_3.jpg,16,343,361,True,71
M,80,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/M/DSC03084_1.jpg,46,376,347,True,35
e,61,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/e/DSC03084_4.jpg,27,422,369,True,56
d,79,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/d/DSC03084_3.jpg,24,446,347,True,54
i,79,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/i/DSC03084_4.jpg,18,470,350,True,60
c,63,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/c/DSC03084_3.jpg,20,487,369,True,53
i,73,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/i/DSC03084_5.jpg,17,503,356,True,60
n,57,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/n/DSC03084_3.jpg,29,519,369,True,65
e,62,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/DSC03084.jpg,char_data/e/DSC03084_5.jpg,30,549,369,True,56
c,49,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/c/IMG_2647_1.jpg,47,160,260,True,53
a,54,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/a/IMG_2647_3.jpg,44,208,259,True,51
s,52,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/s/IMG_2647_3.jpg,37,254,260,True,70
e,51,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/e/IMG_2647_3.jpg,46,292,261,True,56
f,69,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/f/IMG_2647_2.jpg,29,160,318,True,57
i,70,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/i/IMG_2647_2.jpg,18,188,319,True,60
r,59,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/r/IMG_2647_2.jpg,23,207,328,True,69
e,55,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/e/IMG_2647_4.jpg,46,231,335,True,56
i,67,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/i/IMG_2647_3.jpg,28,369,171,True,60
n,54,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/n/IMG_2647_1.jpg,44,400,186,True,65
f,80,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/f/IMG_2647_3.jpg,27,412,244,True,57
o,58,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/o/IMG_2647_1.jpg,51,361,262,True,66
l,76,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/l/IMG_2647_1.jpg,17,209,166,True,63
g,63,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/g/IMG_2647_1.jpg,51,158,185,True,58
a,51,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/a/IMG_2647_4.jpg,40,227,187,True,51
s,50,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/s/IMG_2647_4.jpg,46,265,190,True,70
s,53,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/s/IMG_2647_5.jpg,42,313,186,True,70
B,64,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/B/IMG_2647_1.jpg,51,164,93,True,24
r,58,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/r/IMG_2647_3.jpg,25,217,102,True,69
e,50,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/e/IMG_2647_5.jpg,43,242,111,True,56
a,59,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/a/IMG_2647_5.jpg,42,286,103,True,51
k,73,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/IMG_2647.jpg,char_data/k/IMG_2647_1.jpg,49,330,90,True,62
I,71,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/I/P090912074_1.jpg,45,248,72,True,31
t,59,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/t/P090912074_1.jpg,37,292,81,True,71
s,75,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/s/P090912074_1.jpg,37,341,78,True,70
D,62,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/D/P090912074_1.jpg,37,394,82,True,26
a,55,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/a/P090912074_1.jpg,29,432,83,True,51
e,46,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/e/P090912074_2.jpg,33,459,85,True,56
j,78,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/j/P090912074_1.jpg,34,487,72,True,61
e,48,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/e/P090912074_3.jpg,29,521,85,True,56
o,50,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/o/P090912074_1.jpg,22,549,82,True,66
n,46,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P090912074.jpg,char_data/n/P090912074_1.jpg,35,573,90,True,65
H,128,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P1010035.jpg,char_data/H/P1010035_1.jpg,129,81,154,True,30
S,121,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P1010035.jpg,char_data/S/P1010035_1.jpg,101,213,162,True,41
B,121,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P1010035.jpg,char_data/B/P1010035_1.jpg,115,323,161,True,24
C,120,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P1010035.jpg,char_data/C/P1010035_1.jpg,123,441,165,True,25
N,45,kaist_dataset/English/Digital_Camera/(E.S)A-shadow/P1010044.jpg,char_data/N/P1010044_3.jpg,36,19,354,True,36
